FL_Ranking,Iteration,Time
1,0,106.44834041595459
1,1,952.729398727417
1,1,1105.364975452423
1,2,1301.9181592464447
1,2,1370.3833537101746
1,2,1912.0575120449066
1,2,2469.136536836624
1,2,2492.0671985149384
6,2,11904.66724896431
7,1,12987.024177074432
7,1,13120.184727668762
7,1,13162.425952672958
7,1,13403.196808099747
7,1,13590.130314588547
7,2,14415.216880083084
7,2,14743.277019739151
7,2,14784.383074045181
7,2,14859.43219256401
7,2,14890.899829387665
7,2,15344.798038005829
7,2,15536.531724691391
8,0,15730.013210773468
8,0,15754.223829984665
8,0,15778.345646858215
8,0,15807.811999797821
8,0,15867.923968791962
8,1,15896.871795654297
8,1,15921.211847543716
8,1,15945.892188310623
8,1,16007.513961791992
8,1,16098.286140918732
8,1,16147.56194615364
8,1,16285.339716434479
8,1,16424.828299999237
8,1,16448.950315713882
8,1,16474.748259544373
8,2,16912.69635796547
8,2,16993.277124404907
8,2,17041.095750808716
8,2,17076.847967147827
8,2,17124.852148532867
8,2,17149.881417751312
8,2,17334.574569940567
8,2,17381.403497695923
8,2,17531.798776865005
8,2,17904.152849674225
8,2,17953.267248392105
8,2,18188.757034540176
8,2,18218.86478996277
8,2,18243.459859371185
8,2,18531.595103025436
8,2,18631.72758603096
8,2,18670.70479607582
9,1,19080.191052913666
