FL_Ranking,Iteration,Time
2,0,1108.8884975910187
2,0,1144.8704278469086
2,1,1278.8832499980927
2,1,1321.1640996932983
2,2,1470.289782524109
2,2,1993.7434647083282
2,2,1999.728594303131
2,2,2008.2065832614899
2,2,2240.7533798217773
2,2,2616.7650711536407
3,1,2721.396805524826
3,2,3505.2475621700287
7,0,6803.931043624878
7,1,6893.30192399025
7,1,6906.051303625107
7,1,6994.990366220474
7,1,7010.729550361633
7,1,7016.7088305950165
7,2,7084.219531774521
7,2,7179.074252843857
7,2,7360.6846697330475
7,2,7367.510957956314
7,2,7373.476543426514
7,2,7476.191105127335
7,2,7507.197847604752
7,2,7523.122255563736
7,2,7529.010965585709
7,2,7621.481048583984
8,1,7786.0650107860565
10,0,8656.75448679924
10,0,8668.420872688293
10,1,8714.02758717537
10,2,8938.0918674469
10,2,9143.65900182724
10,2,9222.373490095139
11,0,9376.055816173553
11,1,9416.489896297455
11,2,9507.639795303345
11,2,9620.587111711502
11,2,9640.901271104813
11,2,9711.1468064785
12,0,9801.066423892975
12,1,9850.701609373093
12,1,9857.229538917542
12,1,9868.974905490875
12,1,9875.449498176575
12,1,9908.278126001358
12,1,9914.12559890747
12,2,9991.120165109634
12,2,10009.910621643066
12,2,10015.791757106781
12,2,10021.939989566803
13,2,10148.982401132584
32,0,27338.984110355377
32,1,27372.221202373505
32,2,27747.974710464478
33,2,28107.936838388443
34,2,28836.495283842087
36,2,31873.890242815018
36,2,33084.651824474335
