FL_Ranking,Iteration,Time
1,0,157.79290652275085
1,0,353.33946084976196
1,0,520.4263551235199
1,0,571.4000399112701
1,1,858.2926230430603
1,1,1373.1606330871582
1,1,1485.8224129676819
1,1,1621.8750059604645
1,1,1913.3438920974731
1,1,2218.5644307136536
1,1,2337.178767681122
1,1,3943.4946298599243
1,1,4065.2842090129852
1,1,4198.048351049423
1,1,4273.078739404678
1,1,4540.01610994339
1,1,5074.789939165115
1,1,6858.875731706619
1,2,8894.015370845795
1,2,9848.124608755112
1,2,10776.455625534058
1,2,10844.308983802795
1,2,10907.590461969376
1,2,11795.592627286911
1,2,12164.546496629715
1,2,12236.443409919739
1,2,12307.322170495987
1,2,12375.008566141129
1,2,12442.279253721237
1,2,14274.787001132965
1,2,14345.861593484879
1,2,14417.32104587555
1,2,14872.779773235321
1,2,16214.032242059708
1,2,16377.550629854202
1,2,18893.550158023834
1,2,18971.20283961296
1,2,20153.780431985855
1,2,20437.427837133408
1,2,20851.425887346268
1,2,20922.902305841446
1,2,20993.247977495193
1,2,22256.530631780624
1,2,24062.691550016403
1,2,24557.77542901039
1,2,24722.759979963303
1,2,25836.514185905457
1,2,26938.96813607216
1,2,27300.387057065964
1,2,27512.155954360962
1,2,28338.54691696167
1,2,29272.889338970184
1,2,30405.38730406761
1,2,30573.49669289589
1,2,31686.479227542877
1,2,31756.495282411575
1,2,32559.60525894165
