FL_Ranking,Iteration,Time
2,0,63.47900128364563
2,0,114.90623831748962
2,0,344.42487478256226
2,0,396.0960409641266
2,0,448.1306073665619
2,0,714.7588427066803
2,1,1349.1543323993683
2,1,1742.0912909507751
2,1,2388.949149608612
2,1,2448.097070455551
2,1,3376.0394661426544
2,1,3486.29917883873
2,1,3843.495668411255
2,1,3973.783879995346
2,1,4048.9883670806885
2,1,4099.82165646553
2,1,4158.2279052734375
2,1,4210.380427122116
2,1,4312.394880533218
2,1,4421.2215456962585
2,1,4473.320776462555
2,1,4584.881221294403
2,1,5157.4580183029175
2,1,5270.637920856476
2,1,5670.654831171036
2,1,5832.388465881348
2,1,5934.7702214717865
2,1,6113.118846654892
2,1,6175.303909063339
2,1,6227.598716497421
2,1,6279.935544252396
2,1,6339.762761592865
2,1,6390.5784368515015
2,1,6441.021959781647
2,1,6632.902769327164
2,1,7670.405982494354
2,1,7744.8852388858795
2,1,7848.326017618179
2,1,7907.192976474762
2,1,7973.509354829788
2,1,8120.338216543198
2,1,8168.637304782867
2,1,8297.875113725662
2,1,8363.059294223785
2,1,8666.480507850647
2,1,8920.445192337036
2,1,9479.34715104103
2,1,9916.629639863968
2,1,9967.790344953537
2,1,10610.54583644867
2,1,10749.33316707611
2,1,10800.136846780777
2,1,11534.098057746887
2,1,11591.855509519577
2,1,11639.986483097076
2,1,12573.074028730392
2,2,14317.272598743439
