FL_Ranking,Iteration,Time
1,1,255.47127604484558
2,1,2333.4433295726776
2,1,2350.554304122925
2,1,2367.8156204223633
2,1,2477.7103550434113
2,2,3749.83008480072
2,2,3961.200749397278
6,0,13660.332612514496
6,1,13764.668860435486
6,1,13841.670262813568
6,2,14937.25272154808
6,2,15016.980983018875
6,2,15032.911276102066
6,2,15082.124644517899
6,2,15287.912811279297
6,2,15532.439013242722
6,2,15550.56339597702
6,2,15665.584950685501
6,2,15680.600568056107
6,2,15941.86570262909
6,2,16296.93988084793
6,2,16597.474796533585
6,2,16675.493436574936
6,2,16775.38755774498
11,0,25061.635416030884
11,0,25131.02760720253
11,0,25144.88801074028
11,1,25214.920562267303
11,2,25617.37591123581
11,2,25644.479598522186
11,2,25658.522627592087
12,0,26300.419934988022
12,2,27413.6206843853
